text,label,is_augmented
how many people are affected by wiskott-aldrich syndrome?,general,
how many people are affected by neonatal onset multisystem inflammatory disease?,general,
what are the treatments for urinary tract infections?,treatment,
what are the symptoms of harrod doman keele syndrome?,symptom,
what is (are) mitochondrial dna-associated leigh syndrome?,definition,
what are the treatments for spastic paraplegia type 31?,treatment,
who is at risk for endocarditis?,risk,
"how many people are affected by neuropathy, ataxia, and retinitis pigmentosa?",general,
how to diagnose hashimoto's disease?,diagnosis,
what are the treatments for alzheimer's disease?,treatment,
what are the symptoms of carnitine-acylcarnitine translocase deficiency?,symptom,
what are the genetic changes related to galactosemia?,genetics,
how is rabies diagnosed?,diagnosis,
what are the symptoms of renal hamartomas nephroblastomatosis and fetal gigantism?,symptom,
what is the outlook for isaacs' syndrome?,definition,
what are the symptoms of adenocarcinoma of the appendix?,symptom,
what is (are) intestinal cancer?,definition,
is glycogen storage disease type i inherited?,genetics,
what research (or clinical trials) is being done for dyslexia?,general,
what are the symptoms of botulism?,symptom,
is malignant migrating partial seizures of infancy inherited?,genetics,
what are the symptoms of glucose-6-phosphate dehydrogenase deficiency?,symptom,
what are the genetic changes related to adenine phosphoribosyltransferase deficiency?,genetics,
what are the treatments for iridocorneal endothelial syndrome?,treatment,
what are the symptoms of norrie disease?,symptom,
how many people are affected by romano-ward syndrome?,general,
what is (are) disseminated superficial actinic porokeratosis?,definition,
what are the symptoms of ehlers-danlos-like syndrome due to tenascin-x deficiency?,symptom,
how to diagnose coach syndrome?,diagnosis,
how to diagnose glomerular diseases?,diagnosis,
what are the symptoms of chromosome 4q deletion?,symptom,
what is (are) guttate psoriasis?,definition,
what are the treatments for intraocular (uveal) melanoma?,treatment,
what are the symptoms of his bundle tachycardia?,symptom,
what research (or clinical trials) is being done for generalized gangliosidoses?,general,
what are the symptoms of woodhouse sakati syndrome?,symptom,
what causes chondrocalcinosis 2?,cause,
what is (are) binswanger's disease?,definition,
"what is (are) x-linked intellectual disability, siderius type?",definition,
is timothy syndrome inherited?,genetics,
what are the treatments for klippel-feil syndrome?,treatment,
how to diagnose dumping syndrome?,diagnosis,
what are the symptoms of ascher syndrome?,symptom,
what is (are) nodular nonsuppurative panniculitis?,definition,
what is (are) progressive external ophthalmoplegia?,definition,
what is (are) cardiofaciocutaneous syndrome?,definition,
is glutathione synthetase deficiency inherited?,genetics,
how many people are affected by pseudocholinesterase deficiency?,general,
what are the symptoms of dennis fairhurst moore syndrome?,symptom,
what is the outlook for antiphospholipid syndrome?,definition,
what are the treatments for mycosis fungoides?,treatment,
what is (are) tetralogy of fallot?,definition,
what are the treatments for pigmented purpuric eruption?,treatment,
what are the genetic changes related to congenital stromal corneal dystrophy?,genetics,
what are the symptoms of waardenburg syndrome type 3?,symptom,
what to do for hashimoto's disease?,general,
what is the outlook for small intestine cancer?,definition,
what is (are) pitt-hopkins syndrome?,definition,
"what are the symptoms of pituitary hormone deficiency, combined 4?",symptom,
who is at risk for small intestine cancer?,risk,
what is (are) degenerative nerve diseases?,definition,
what is (are) pure autonomic failure?,definition,
what are the treatments for early-onset glaucoma?,treatment,
who is at risk for parasites - hookworm?,risk,
what are the genetic changes related to renpenning syndrome?,genetics,
what are the symptoms of hydrops fetalis?,symptom,
what is (are) small intestine cancer?,definition,
what causes hereditary fructose intolerance?,cause,
what is (are) pineal cyst?,definition,
what is (are) child behavior disorders?,definition,
how to diagnose pancreatic neuroendocrine tumors (islet cell tumors)?,diagnosis,
who is at risk for foodborne illnesses?,risk,
what are the treatments for baylisascaris infection?,treatment,
what is (are) neuronal ceroid lipofuscinosis 9?,definition,
what is (are) very long-chain acyl-coa dehydrogenase deficiency?,definition,
what are the symptoms of glaucoma 3 primary infantile b?,symptom,
what are the symptoms of familial colorectal cancer?,symptom,
what are the symptoms of abdominal aortic aneurysm?,symptom,
how many people are affected by protein s deficiency?,general,
what is (are) erdheim-chester disease?,definition,
what are the treatments for congenital heart defects?,treatment,
what is (are) head lice?,definition,
what are the genetic changes related to severe congenital neutropenia?,genetics,
what to do for biliary atresia?,general,
what are the genetic changes related to purine nucleoside phosphorylase deficiency?,genetics,
what are the treatments for cartilage-hair hypoplasia?,treatment,
what is the outlook for adult acute myeloid leukemia?,definition,
how many people are affected by gaucher disease?,general,
what is (are) melioidosis?,definition,
what are the treatments for chiari malformation type 1?,treatment,
how to prevent problems with smell?,general,
what are the genetic changes related to pseudocholinesterase deficiency?,genetics,
what are the treatments for spastic paraplegia type 8?,treatment,
what are the treatments for hemophagocytic lymphohistiocytosis?,treatment,
what are the symptoms of lysinuric protein intolerance?,symptom,
how many people are affected by porphyria?,general,
what is the outlook for agenesis of the corpus callosum?,definition,
what causes pelizaeus-merzbacher disease?,cause,
what are the treatments for microphthalmia with linear skin defects syndrome?,treatment,
how to diagnose mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes?,diagnosis,
is aicardi-goutieres syndrome inherited?,genetics,
is familial paroxysmal kinesigenic dyskinesia inherited?,genetics,
is non-classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency inherited?,genetics,
what research (or clinical trials) is being done for gerstmann's syndrome?,general,
what causes antisynthetase syndrome?,cause,
what are the treatments for isolated ectopia lentis?,treatment,
"what are the treatments for ohdo syndrome, say-barber-biesecker-young-simpson variant?",treatment,
what are the symptoms of leber hereditary optic neuropathy?,symptom,
what are the symptoms of varicose veins?,symptom,
what are the treatments for ataxia with vitamin e deficiency?,treatment,
what are the symptoms of juvenile myelomonocytic leukemia?,symptom,
what is (are) griscelli syndrome?,definition,
what is (are) wiedemann-steiner syndrome?,definition,
what is (are) parasites - american trypanosomiasis (also known as chagas disease)?,definition,
how to diagnose metastatic squamous neck cancer with occult primary?,diagnosis,
how many people are affected by mucolipidosis ii alpha/beta?,general,
what is (are) rare diseases?,definition,
"what are the symptoms of neuropathy, distal hereditary motor, jerash type?",symptom,
what are the symptoms of orofaciodigital syndrome 5?,symptom,
what are the treatments for kidney stones in adults?,treatment,
what are the symptoms of dyssegmental dysplasia silverman-handmaker type?,symptom,
how many people are affected by cri-du-chat syndrome?,general,
how many people are affected by familial hdl deficiency?,general,
how many people are affected by hereditary angioedema?,general,
what are the genetic changes related to andersen-tawil syndrome?,genetics,
what are the treatments for apraxia?,treatment,
what are the genetic changes related to beta-ketothiolase deficiency?,genetics,
who is at risk for parasites - baylisascaris infection?,risk,
is mannose-binding lectin deficiency inherited?,genetics,
what research (or clinical trials) is being done for hairy cell leukemia?,general,
what are the symptoms of meesmann corneal dystrophy?,symptom,
what are the genetic changes related to hyperprolinemia?,genetics,
what diseases are vaccine preventable,general,
what are the treatments for uv-sensitive syndrome?,treatment,
what are the genetic changes related to myotonia congenita?,genetics,
what is the outlook for herpes zoster oticus?,definition,
how to diagnose konigsmark knox hussels syndrome?,diagnosis,
what is (are) neuroferritinopathy?,definition,
what are the symptoms of apert syndrome?,symptom,
what causes hemophilia?,cause,
what are the symptoms of renal dysplasia-limb defects syndrome?,symptom,
do you have information about blood,general,
what are the stages of anal cancer?,definition,
what are the symptoms of weill-marchesani syndrome?,symptom,
is core binding factor acute myeloid leukemia inherited?,genetics,
what are the treatments for frontotemporal dementia with parkinsonism-17?,treatment,
what is (are) hepatoblastoma?,definition,
what are the genetic changes related to spinal muscular atrophy with respiratory distress type 1?,genetics,
what research (or clinical trials) is being done for sunct headache?,general,
what causes hypothyroidism?,cause,
how to diagnose merkel cell carcinoma?,diagnosis,
what is the outlook for bell's palsy?,definition,
how many people are affected by factor v deficiency?,general,
do you have information about teen sexual health,general,
what is (are) logopenic progressive aphasia?,definition,
what is (are) enlarged prostate (bph)?,definition,
how to diagnose transitional cell cancer of the renal pelvis and ureter?,diagnosis,
how many people are affected by chronic granulomatous disease?,general,
what is (are) glioma?,definition,
what are the symptoms of der kaloustian mcintosh silver syndrome?,symptom,
what is (are) attention deficit-hyperactivity disorder?,definition,
what are the genetic changes related to osteopetrosis?,genetics,
what are the treatments for retroperitoneal fibrosis?,treatment,
how to diagnose childhood soft tissue sarcoma?,diagnosis,
how to diagnose cyclic vomiting syndrome?,diagnosis,
what are the treatments for hereditary xanthinuria?,treatment,
what is the outlook for inclusion body myositis?,definition,
how many people are affected by beta thalassemia?,general,
what is (are) proximal symphalangism?,definition,
what is (are) adenocarcinoma of the appendix?,definition,
what is (are) familial mixed cryoglobulinemia?,definition,
what are the symptoms of striatonigral degeneration infantile?,symptom,
what are the stages of oropharyngeal cancer?,definition,
what is (are) acrodysplasia scoliosis?,definition,
what research (or clinical trials) is being done for dyssynergia cerebellaris myoclonica?,general,
what is (are) autoimmune hemolytic anemia?,definition,
what is the outlook for moyamoya disease?,definition,
what is (are) short qt syndrome?,definition,
how many people are affected by spastic paraplegia type 11?,general,
what are the symptoms of adult syndrome?,symptom,
what are the treatments for diabetic retinopathy?,treatment,
"what are the treatments for x-linked immunodeficiency with magnesium defect, epstein-barr virus infection, and neoplasia?",treatment,
what is the outlook for parry-romberg?,definition,
how to prevent iga nephropathy?,general,
what are the genetic changes related to x-linked juvenile retinoschisis?,genetics,
how many people are affected by glucose-6-phosphate dehydrogenase deficiency?,general,
what are the genetic changes related to monilethrix?,genetics,
what are the genetic changes related to essential thrombocythemia?,genetics,
how to diagnose stroke?,diagnosis,
what are the genetic changes related to rubinstein-taybi syndrome?,genetics,
what is (are) head injuries?,definition,
is grn-related frontotemporal dementia inherited?,genetics,
what is (are) multiple myeloma?,definition,
what are the genetic changes related to aminoacylase 1 deficiency?,genetics,
what are the symptoms of anemia due to adenosine triphosphatase deficiency?,symptom,
do you have information about women's health,general,
what are the genetic changes related to greig cephalopolysyndactyly syndrome?,genetics,
how to diagnose celiac artery compression syndrome?,diagnosis,
how many people are affected by slc4a1-associated distal renal tubular acidosis?,general,
how many people are affected by persistent mllerian duct syndrome?,general,
how many people are affected by lujan syndrome?,general,
what are the treatments for allergic asthma?,treatment,
what are the genetic changes related to alg6-congenital disorder of glycosylation?,genetics,
how many people are affected by guillain-barr syndrome?,general,
what is (are) vision impairment and blindness?,definition,
what are the treatments for ophthalmo-acromelic syndrome?,treatment,
what are the symptoms of 17-alpha-hydroxylase deficiency?,symptom,
what are the genetic changes related to wilson disease?,genetics,
what are the symptoms of pseudoainhum?,symptom,
what is (are) desmoplastic small round cell tumor?,definition,
is methylmalonic acidemia with homocystinuria inherited?,genetics,
what are the symptoms of peyronie disease?,symptom,
do you have information about teen violence,general,
what are the symptoms of congenital rubella?,symptom,
what are the symptoms of hypophosphatasia?,symptom,
is tibial muscular dystrophy inherited?,genetics,
is platelet storage pool deficiency inherited?,genetics,
what are the treatments for familial hypobetalipoproteinemia?,treatment,
what are the treatments for x-linked creatine deficiency?,treatment,
is essential pentosuria inherited?,genetics,
what are the genetic changes related to gm3 synthase deficiency?,genetics,
what is (are) seizures?,definition,
what research (or clinical trials) is being done for hydrocephalus?,general,
what are the treatments for craniosynostosis?,treatment,
what causes camurati-engelmann disease?,cause,
how to diagnose tuberculosis (tb)?,diagnosis,
what are the symptoms of achondrogenesis type 2?,symptom,
what are the symptoms of congenital lobar emphysema?,symptom,
what are the treatments for copd?,treatment,
what is (are) aberrant subclavian artery?,definition,
what are the symptoms of marinesco-sjogren syndrome?,symptom,
what are the symptoms of antiphospholipid antibody syndrome?,symptom,
what is the outlook for childhood rhabdomyosarcoma?,definition,
what are the genetic changes related to hereditary myopathy with early respiratory failure?,genetics,
what is the outlook for progressive multifocal leukoencephalopathy?,definition,
what is (are) hemolytic anemia?,definition,
"what is (are) hereditary endotheliopathy, retinopathy, nephropathy, and stroke?",definition,
what research (or clinical trials) is being done for orthostatic hypotension?,general,
how to diagnose huntington disease?,diagnosis,
what is (are) iniencephaly?,definition,
what to do for what i need to know about hepatitis c?,general,
what is the outlook for childhood ependymoma?,definition,
what causes craniopharyngioma?,cause,
how to diagnose medium-chain acyl-coenzyme a dehydrogenase deficiency?,diagnosis,
what is (are) type 1 diabetes?,definition,
how to diagnose parasites - lice - body lice?,diagnosis,
what is (are) saddan?,definition,
what is (are) childhood interstitial lung disease?,definition,
how to diagnose pityriasis lichenoides et varioliformis acuta?,diagnosis,
what is (are) membranous nephropathy?,definition,
what is the outlook for inflammatory myopathies?,definition,
what is (are) birth defects?,definition,
how many people are affected by holocarboxylase synthetase deficiency?,general,
what are the treatments for glycogen storage disease type vi?,treatment,
what research (or clinical trials) is being done for adult acute myeloid leukemia?,general,
what is (are) dextrocardia with situs inversus?,definition,
what is the outlook for aicardi syndrome?,definition,
what are the symptoms of ring chromosome 10?,symptom,
what is (are) pretibial epidermolysis bullosa?,definition,
do you have information about winter weather emergencies,general,
what is (are) hereditary spherocytosis?,definition,
what are the genetic changes related to glycogen storage disease type 0?,genetics,
is d-bifunctional protein deficiency inherited?,genetics,
what are the treatments for myoclonus?,treatment,
what is (are) limb dystonia?,definition,
what are the symptoms of hemolytic anemia?,symptom,
what are the symptoms of hypomagnesemia primary?,symptom,
what are the treatments for sick sinus syndrome?,treatment,
is mitochondrial membrane protein-associated neurodegeneration inherited?,genetics,
what is (are) mucopolysaccharidosis type vii?,definition,
is familial paroxysmal nonkinesigenic dyskinesia inherited?,genetics,
what are the genetic changes related to muenke syndrome?,genetics,
what are the symptoms of muscular atrophy ataxia retinitis pigmentosa and diabetes mellitus?,symptom,
how many people are affected by spondylocostal dysostosis?,general,
how many people are affected by mckusick-kaufman syndrome?,general,
do you have information about alcohol,general,
what are the symptoms of hypothalamic hamartomas?,symptom,
is familial male-limited precocious puberty inherited?,genetics,
what are the symptoms of alpha-mannosidosis type 1?,symptom,
what are the treatments for kleefstra syndrome?,treatment,
what are the symptoms of mental retardation x-linked syndromic 7?,symptom,
what is (are) alg1-congenital disorder of glycosylation?,definition,
what is (are) cephalic disorders?,definition,
how many people are affected by arginine:glycine amidinotransferase deficiency?,general,
how many people are affected by gm1 gangliosidosis?,general,
what are the symptoms of ring chromosome 8?,symptom,
is miller-dieker syndrome inherited?,genetics,
what are the symptoms of osteosclerosis with ichthyosis and premature ovarian failure?,symptom,
what research (or clinical trials) is being done for chorea?,general,
what are the treatments for epidermolytic hyperkeratosis?,treatment,
what is (are) medullary cystic kidney disease 1?,definition,
what are the treatments for multiple system atrophy?,treatment,
what are the symptoms of familial hypocalciuric hypercalcemia type 2?,symptom,
what are the genetic changes related to cerebral cavernous malformation?,genetics,
what are the genetic changes related to alpha thalassemia x-linked intellectual disability syndrome?,genetics,
what are the treatments for surviving cancer?,treatment,
what is (are) florid cemento-osseous dysplasia?,definition,
what are the genetic changes related to mayer-rokitansky-kster-hauser syndrome?,genetics,
what research (or clinical trials) is being done for central pontine myelinolysis?,general,
is short-chain acyl-coa dehydrogenase deficiency inherited?,genetics,
what are the genetic changes related to phosphoglycerate kinase deficiency?,genetics,
what are the genetic changes related to ornithine translocase deficiency?,genetics,
what are the treatments for rabson-mendenhall syndrome?,treatment,
what is (are) guillain-barre syndrome?,definition,
what are the symptoms of intellectual disability-developmental delay-contractures syndrome?,symptom,
what are the symptoms of imperforate oropharynx-costo vetebral anomalies?,symptom,
is dandy-walker malformation inherited?,genetics,
what are the symptoms of gracile syndrome?,symptom,
what causes tubular aggregate myopathy?,cause,
what are the symptoms of hypertelorism and tetralogy of fallot?,symptom,
what causes dumping syndrome?,cause,
what are the symptoms of trigger thumb?,symptom,
what are the treatments for renpenning syndrome?,treatment,
what is (are) oculocutaneous albinism type 2?,definition,
what causes bethlem myopathy?,cause,
how many people are affected by ataxia-telangiectasia?,general,
what are the treatments for albright's hereditary osteodystrophy?,treatment,
what causes kidney disease?,cause,
what are the symptoms of autosomal recessive hyper ige syndrome?,symptom,
what are the treatments for shingles?,treatment,
what are the complications of machado-joseph disease?,definition,
what are the treatments for freiberg's disease?,treatment,
what causes mandibulofacial dysostosis with microcephaly?,cause,
what are the symptoms of male pseudohermaphroditism due to defective lh molecule?,symptom,
is hereditary sensory neuropathy type ie inherited?,genetics,
what causes cholesteatoma?,cause,
what are the treatments for frontonasal dysplasia?,treatment,
what are the stages of endometrial cancer?,definition,
is koolen-de vries syndrome inherited?,genetics,
what are the symptoms of penoscrotal transposition?,symptom,
what are the treatments for leukoplakia?,treatment,
do you have information about x-rays,general,
who is at risk for coronary heart disease risk factors?,risk,
who is at risk for pancreatic neuroendocrine tumors (islet cell tumors)?,risk,
what is (are) multisystemic smooth muscle dysfunction syndrome?,definition,
what are the symptoms of homocarnosinosis?,symptom,
what are the treatments for ppm-x syndrome?,treatment,
what are the symptoms of osteoarthropathy of fingers familial?,symptom,
what are the treatments for coccygodynia?,treatment,
how many people are affected by cushing disease?,general,
how many people are affected by dicer1 syndrome?,general,
what are the symptoms of primary biliary cirrhosis?,symptom,
what are the treatments for hypomyelination and congenital cataract?,treatment,
what is (are) atelosteogenesis type 3?,definition,
what is (are) nephrotic syndrome in adults?,definition,
how many people are affected by darier disease?,general,
what are the treatments for paget's disease of bone?,treatment,
what are the treatments for alstrm syndrome?,treatment,
what is (are) preauricular sinus?,definition,
what are the symptoms of spondylometaphyseal dysplasia type a4?,symptom,
what is the outlook for stroke?,definition,
how many people are affected by cyclic vomiting syndrome?,general,
what are the genetic changes related to anencephaly?,genetics,
what are the genetic changes related to dermatofibrosarcoma protuberans?,genetics,
what is (are) fumarase deficiency?,definition,
what are the genetic changes related to polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy?,genetics,
what is (are) obesity?,definition,
is amelogenesis imperfecta inherited?,genetics,
what are the stages of merkel cell carcinoma?,definition,
what are the symptoms of genoa syndrome?,symptom,
what are the symptoms of parsonage turner syndrome?,symptom,
"what are the symptoms of hydrops, ectopic calcification, moth-eaten skeletal dysplasia?",symptom,
how to diagnose iron-deficiency anemia?,diagnosis,
what are the treatments for reye's syndrome?,treatment,
what is (are) dry eye?,definition,
what are the symptoms of deep vein thrombosis?,symptom,
how many people are affected by combined malonic and methylmalonic aciduria?,general,
what are the treatments for mitochondrial complex ii deficiency?,treatment,
is infantile-onset spinocerebellar ataxia inherited?,genetics,
is brachydactyly type b inherited?,genetics,
what is (are) mucopolysaccharidosis type iv?,definition,
what is (are) alpers' disease?,definition,
what to do for graves' disease?,general,
is hypermethioninemia inherited?,genetics,
what are the treatments for kallmann syndrome?,treatment,
what causes neonatal progeroid syndrome?,cause,
what are the symptoms of congenital sucrase-isomaltase deficiency?,symptom,
what are the treatments for familial osteochondritis dissecans?,treatment,
what causes dystonia 8?,cause,
"what is (are) ohdo syndrome, say-barber-biesecker-young-simpson variant?",definition,
is nonspherocytic hemolytic anemia due to hexokinase deficiency inherited?,genetics,
what are the symptoms of lubinsky syndrome?,symptom,
"is craniometaphyseal dysplasia, autosomal dominant inherited?",genetics,
what are the symptoms of genitopatellar syndrome?,symptom,
how many people are affected by hyperlysinemia?,general,
what are the treatments for mucopolysaccharidosis type iii?,treatment,
how many people are affected by 6q24-related transient neonatal diabetes mellitus?,general,
what is (are) hypochondrogenesis?,definition,
"what are the symptoms of hydrocephalus, costovertebral dysplasia, and sprengel anomaly?",symptom,
what is (are) neurodegeneration with brain iron accumulation?,definition,
what are the symptoms of marden walker like syndrome?,symptom,
what are the symptoms of simple kidney cysts?,symptom,
what are the symptoms of familial hemiplegic migraine type 3?,symptom,
what are the symptoms of penttinen-aula syndrome?,symptom,
what is (are) trichorhinophalangeal syndrome type 1?,definition,
how to diagnose von hippel-lindau disease?,diagnosis,
what are the genetic changes related to dopa-responsive dystonia?,genetics,
what are the symptoms of goldenhar disease?,symptom,
what is (are) osteopetrosis?,definition,
is birt-hogg-dub syndrome inherited?,genetics,
what is (are) generalized gangliosidoses?,definition,
what is (are) inguinal hernia?,definition,
what are the treatments for paresthesia?,treatment,
what are the symptoms of citrullinemia type i?,symptom,
how to diagnose buschke ollendorff syndrome?,diagnosis,
what are the symptoms of camptodactyly syndrome guadalajara type 1?,symptom,
how many people are affected by neuroferritinopathy?,general,
what are the symptoms of bardet-biedl syndrome 8?,symptom,
what are the symptoms of coach syndrome?,symptom,
what causes pyruvate kinase deficiency?,cause,
is chromosome 4q deletion inherited?,genetics,
how to prevent parasites - lice - body lice?,general,
what are the treatments for alpha-mannosidosis?,treatment,
what is (are) lead poisoning?,definition,
what is (are) tar syndrome?,definition,
what are the symptoms of dandy-walker cyst with renal-hepatic-pancreatic dysplasia?,symptom,
what to do for lupus nephritis?,general,
what are the treatments for stormorken syndrome?,treatment,
what is (are) stve-wiedemann syndrome?,definition,
what is (are) c1q deficiency?,definition,
what is (are) familial hemiplegic migraine type 1?,definition,
what are the treatments for coronary microvascular disease?,treatment,
"what are the symptoms of maturity-onset diabetes of the young, type 7?",symptom,
what is (are) bietti crystalline corneoretinal dystrophy?,definition,
what are the genetic changes related to fibrochondrogenesis?,genetics,
what to do for smoking and the digestive system?,general,
how many people are affected by mitochondrial trifunctional protein deficiency?,general,
how to diagnose penile cancer?,diagnosis,
how to diagnose cystocele?,diagnosis,
how to diagnose primary lateral sclerosis?,diagnosis,
is sotos syndrome inherited?,genetics,
how many people are affected by distal myopathy 2?,general,
what is the outlook for uterine sarcoma?,definition,
what are the symptoms of mastocytic enterocolitis?,symptom,
how many people are affected by long-chain 3-hydroxyacyl-coa dehydrogenase deficiency?,general,
how many people are affected by fanconi anemia?,general,
what is (are) colorectal cancer?,definition,
how many people are affected by carnitine-acylcarnitine translocase deficiency?,general,
what is (are) muckle-wells syndrome?,definition,
what are the genetic changes related to ankylosing spondylitis?,genetics,
do you have information about complementary and integrative medicine,general,
how to diagnose achondrogenesis?,diagnosis,
what are the symptoms of cone dystrophy?,symptom,
is lynch syndrome inherited?,genetics,
who is at risk for extragonadal germ cell tumors?,risk,
what is (are) incontinentia pigmenti?,definition,
what are the treatments for multiple sclerosis?,treatment,
what is (are) bleeding disorders?,definition,
what are the symptoms of histidinemia?,symptom,
what is (are) glucose transporter type 1 deficiency syndrome?,definition,
what are the genetic changes related to denys-drash syndrome?,genetics,
what are the genetic changes related to androgen insensitivity syndrome?,genetics,
what causes holt-oram syndrome?,cause,
how many people are affected by gyrate atrophy of the choroid and retina?,general,
what is (are) neurological sequelae of lupus?,definition,
what are the treatments for weissenbacher-zweymller syndrome?,treatment,
what is (are) congenital hypothyroidism?,definition,
what are the treatments for palmoplantar keratoderma?,treatment,
what are the treatments for platelet storage pool deficiency?,treatment,
what are the genetic changes related to cav3-related distal myopathy?,genetics,
what are the genetic changes related to otopalatodigital syndrome type 2?,genetics,
is van der woude syndrome inherited?,genetics,
what are the symptoms of deafness conductive ptosis skeletal anomalies?,symptom,
is catecholaminergic polymorphic ventricular tachycardia inherited?,genetics,
is cutis laxa inherited?,genetics,
what are the genetic changes related to mucolipidosis ii alpha/beta?,genetics,
what is (are) chronic myeloproliferative neoplasms?,definition,
how to diagnose neonatal progeroid syndrome?,diagnosis,
what are the treatments for urinary retention?,treatment,
is alpha thalassemia inherited?,genetics,
what is (are) cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy?,definition,
what is (are) glut1 deficiency syndrome?,definition,
what are the symptoms of cardioauditory syndrome of sanchez cascos?,symptom,
what is (are) small cell lung cancer?,definition,
what is (are) deep brain stimulation for parkinson's disease?,definition,
is coloboma inherited?,genetics,
what are the genetic changes related to niemann-pick disease?,genetics,
what is (are) choking?,definition,
what are the genetic changes related to juvenile primary lateral sclerosis?,genetics,
is best vitelliform macular dystrophy inherited?,genetics,
what are the symptoms of alcohol use and older adults?,symptom,
how many people are affected by griscelli syndrome?,general,
is krabbe disease inherited?,genetics,
what are the treatments for geleophysic dysplasia?,treatment,
what are the symptoms of acrocapitofemoral dysplasia?,symptom,
how many people are affected by type 1 diabetes?,general,
what is (are) myelodysplastic/myeloproliferative disease?,definition,
who is at risk for creating a family health history?,risk,
what are the treatments for li-fraumeni syndrome?,treatment,
is 9q22.3 microdeletion inherited?,genetics,
what are the genetic changes related to north american indian childhood cirrhosis?,genetics,
what is (are) infantile spasms?,definition,
what are the genetic changes related to infantile neuronal ceroid lipofuscinosis?,genetics,
what are the symptoms of cornea guttata with anterior polar cataract?,symptom,
what causes spastic diplegia cerebral palsy?,cause,
is nijmegen breakage syndrome inherited?,genetics,
what is (are) adult-onset still's disease?,definition,
what are the symptoms of platyspondylic lethal skeletal dysplasia torrance type?,symptom,
what are the treatments for osteogenesis imperfecta?,treatment,
what are the treatments for miller-dieker syndrome?,treatment,
what are the symptoms of miller syndrome?,symptom,
what are the treatments for myoclonic epilepsy myopathy sensory ataxia?,treatment,
what is (are) feingold syndrome?,definition,
what causes angelman syndrome?,cause,
is fabry disease inherited?,genetics,
what are the genetic changes related to chordoma?,genetics,
is primary spontaneous pneumothorax inherited?,genetics,
what is (are) jervell lange-nielsen syndrome?,definition,
what causes adolescent idiopathic scoliosis?,cause,
who is at risk for adult acute lymphoblastic leukemia?,risk,
what is (are) ornithine transcarbamylase deficiency?,definition,
what are the symptoms of congenital hypothyroidism?,symptom,
what is the outlook for repetitive motion disorders?,definition,
is pulmonary arterial hypertension inherited?,genetics,
what are the symptoms of kawasaki syndrome?,symptom,
what are the treatments for parasites - trichuriasis (also known as whipworm infection)?,treatment,
what are the genetic changes related to 22q11.2 deletion syndrome?,genetics,
what are the treatments for norum disease?,treatment,
what causes yellow nail syndrome?,cause,
what is the government doing about these diseases for marine toxins?,definition,
what are the symptoms of c syndrome?,symptom,
what is (are) spastic paraplegia type 4?,definition,
what are the genetic changes related to prolidase deficiency?,genetics,
what is (are) locked-in syndrome?,definition,
what are the symptoms of what i need to know about interstitial cystitis/painful bladder syndrome?,symptom,
what is (are) hereditary hypophosphatemic rickets?,definition,
what is (are) x-linked agammaglobulinemia?,definition,
what causes lafora disease?,cause,
is aminoacylase 1 deficiency inherited?,genetics,
what is (are) distal chromosome 18q deletion syndrome?,definition,
what are the treatments for systemic capillary leak syndrome?,treatment,
is wildervanck syndrome inherited?,genetics,
what is (are) high blood pressure in pregnancy?,definition,
what are the treatments for graves' disease?,treatment,
what is (are) chronic bronchitis?,definition,
what are the treatments for pityriasis lichenoides?,treatment,
what are the symptoms of congenital heart defects?,symptom,
what causes pachygyria?,cause,
do you have information about bone density,general,
what are the treatments for chandler's syndrome?,treatment,
what is (are) progressive transformation of germinal centers?,definition,
what is (are) cytochrome c oxidase deficiency?,definition,
do you have information about medical ethics,general,
how to diagnose prostate cancer?,diagnosis,
what is (are) shoulder injuries and disorders?,definition,
how many people are affected by neurofibromatosis type 1?,general,
how many people are affected by thiopurine s-methyltransferase deficiency?,general,
what are the genetic changes related to myosin storage myopathy?,genetics,
"what is (are) t-cell immunodeficiency, congenital alopecia, and nail dystrophy?",definition,
"what are the symptoms of heart-hand syndrome, spanish type?",symptom,
who is at risk for stroke?,risk,
who is at risk for adult acute myeloid leukemia?,risk,
"what is (are) gay, lesbian, bisexual and transgender health?",definition,
how to diagnose mantle cell lymphoma?,diagnosis,
what is (are) autosomal dominant nocturnal frontal lobe epilepsy?,definition,
what are the treatments for adult primary liver cancer?,treatment,
what is (are) coronary artery disease?,definition,
what are the treatments for christianson syndrome?,treatment,
what are the symptoms of spinocerebellar ataxia 31?,symptom,
what are the symptoms of adult non-hodgkin lymphoma?,symptom,
is brugada syndrome inherited?,genetics,
what are the symptoms of griscelli syndrome?,symptom,
what to do for monogenic forms of diabetes: neonatal diabetes mellitus and maturity-onset diabetes of the young?,general,
what is (are) glutathione synthetase deficiency?,definition,
what is (are) arthritis?,definition,
what is (are) x-linked lissencephaly with abnormal genitalia?,definition,
what is (are) hardikar syndrome?,definition,
what are the genetic changes related to aicardi-goutieres syndrome?,genetics,
what is (are) barotrauma?,definition,
what are the symptoms of sialadenitis?,symptom,
what are the treatments for fryns syndrome?,treatment,
what are the symptoms of familial hemiplegic migraine?,symptom,
